
Nstations =6;
Nacq= 97;
SizeAcq = [14798971,14798971,14798971,14798971,7399485,14798971,7399485,3699742,14798971,3699742,7399485,3699742,3699742,3699742,7399485,7399485,14798971,14798971,7399485,3699742,7399485,3699742,7399485,7399485,14798971,3699742,14798971,7399485,7399485,14798971,14798971,7399485,14798971,14798971,3699742,3699742,7399485,3699742,3699742,3699742,14798971,3699742,14798971,3699742,7399485,14798971,3699742,14798971,3699742,3699742,7399485,3699742,3699742,7399485,7399485,3699742,3699742,3699742,14798971,7399485,7399485,3699742,7399485,7399485,3699742,14798971,7399485,3699742,7399485,3699742,7399485,3699742,3699742,3699742,3699742,14798971,3699742,7399485,7399485,3699742,3699742,7399485,7399485,14798971,14798971,14798971,14798971,3699742,14798971,14798971,7399485,7399485,3699742,7399485,14798971,7399485,3699742];
Duration = [15,15,15,15,8,15,8,4,15,4,8,4,4,4,8,8,15,15,8,4,8,4,8,8,15,4,15,8,8,15,15,8,15,15,4,4,8,4,4,4,15,4,15,4,8,15,4,15,4,4,8,4,4,8,8,4,4,4,15,8,8,4,8,8,4,15,8,4,8,4,8,4,4,4,4,15,4,8,8,4,4,8,8,15,15,15,15,4,15,15,8,8,4,8,15,8,4];
DateAcq = [-653,-2123,-10565,-7980,-1949,-4850,-653,-5011,-1906,-4992,-4830,-2024,-8003,-5021,-5095,-1957,-1974,-5013,-4992,-5017,-5019,-7741,-2028,-1908,-742,-10729,-2077,-1893,-4843,-4992,-10565,-7807,-5017,-4906,-12709,-2123,-7846,-5009,-4879,-4856,-5032,-787,-2057,-2083,-2078,-1998,-4847,-4784,-2186,-7791,-2012,-5030,-2092,-8014,-4849,-7812,-1911,-5032,-925,-7737,-5000,1913,1997,711,14086,2222,1903,2165,2009,1849,669,1835,2209,2103,7946,851,748,678,686,701,526,942,886,724,876,694,757,739,2122,2036,2150,2137,1955,1890,1872,2247,838];
PriorityAcq = [0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1];
UserAcq = [0,1,1,0,0,2,2,1,1,1,0,1,1,2,0,0,2,2,0,0,1,2,0,0,1,1,1,1,2,0,0,1,2,2,0,0,1,0,0,0,2,2,0,1,0,1,0,2,1,1,0,1,2,2,0,1,1,0,1,1,2,2,2,0,0,2,0,1,1,1,0,0,1,2,2,0,1,1,0,0,1,2,1,2,0,2,2,2,0,2,2,0,0,0,1,1,2];
IdxAcq = [0,2,3,6,8,9,10,12,13,14,15,16,22,24,26,29,30,32,33,34,36,37,38,39,41,42,43,44,46,49,50,51,52,53,55,56,57,58,60,61,62,63,64,67,71,72,73,74,76,78,80,81,83,84,85,87,89,90,92,96,97,6,8,14,21,48,54,60,62,69,73,76,87,94,95,107,109,110,113,116,119,121,122,126,127,128,131,132,133,134,142,148,157,164,172,176,186];
OrAcq = [REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,REC,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND,CAND];
NW =6;
IdxWindows= [0,2,3,7,8,9];
StartTimeWindows= [1651,2705,8565,13027,529,2121];
EndTimeWindows= [2239,3256,9011,13423,1008,2560];
OutputFile = "DownloadPlan_SAT1.txt";
